NamaSPPG,Alamat,Tanggal Opsnal,Provinsi,wilayah,Nama Kepala,Nama Yayasan,Latitude,Longitude
SPPG Banjarnegara Mandiraja Purwasaba,Purwasaba Rt 005 Rw 003 Kecamatan Mandiraja Banjarnegara Jawa Tengah,26-09-2025,JAWA TENGAH,Wilayah II,Yuwono Ade Nugroho,,-7.48089,109.47769
SPPG Demak Mranggen Batursari,"Jl. Daleman I, Daleman, Batursari, Kec. Mranggen, Kabupaten Demak, Jawa Tengah ",26-09-2025,JAWA TENGAH,Wilayah II,Bogi Budiyono Ramadhanu,,-7.03529,110.50705
SPPG Grobogan Toroh Krangganharjo,"Jl. Creme, Kranggan, Krangganharjo, Kec. Toroh, Kabupaten Grobogan, Jawa Tengah ",26-09-2025,JAWA TENGAH,Wilayah II,Fanny Ferdianata,,-7.1241,110.89593
SPPG Pemalang Belik Beluk,"Jl. Pemalang Purbalingga, Beluk Bawah, Beluk, Kec. Belik, Pemalang, Jawa Tengah",26-09-2025,JAWA TENGAH,Wilayah II,Ilmal Hakim,,-7.16283,109.31674
SPPG Kota Semarang Pedurungan Pedurungan Tengah,"Tm. Tlogomulyo Slt I V No.40, Pedurungan Tengah, Kec. Pedurungan, Kota Semarang, Jawa Tengah 50192",26-09-2025,JAWA TENGAH,Wilayah II,Surya Dewanto,,-7.01231,110.4805
SPPG Purworejo Bener Kaliboto 2,"Kedungracak Rt 01 Rw 02, Kaliboto, Bener, Purworejo, Kaliboto, Kec. Bener, Kab. Purworejo, Jawa Tengah",26-09-2025,JAWA TENGAH,Wilayah II,Ahmad Fathul Arifin,,-7.58675,110.07186
SPPG Kebumen Gombong Semondo,"Jl. Yos Sudarso No. 509 Rt 1 Rw 1, Semondo, Kec. Gombong, Kab. Kebumen, Jawa Tengah",26-09-2025,JAWA TENGAH,Wilayah II,Naufal Hafidz Fadillah,,-7.60848,109.49817
SPPG Brebes Bulakamba Rancawuluh,Jl. Desa Rancawuluh Rt 02 Rw 04 Desa Rancawuluh Kecamatan Bulakamba Kabupaten Brebes Jawa Tengah,26-09-2025,JAWA TENGAH,Wilayah II,Erwinsyah Nurhidayat,,-6.90479,108.94266
SPPG Purbalingga Kertanegara Condong,"Desa Condong Rt.007 Rw.001, Condong, Kec. Kertanegara, Kab. Purbalingga, Jawa Tengah",26-09-2025,JAWA TENGAH,Wilayah II,Ahmad Fauzi Ridwan,,-7.30391,109.43444
SPPG Cilacap Nusawungu Karangtawang 2,Dusun Ampel RT 02 RW 03 Desa Karangtawang Kecamatan Nusawungu Kabupaten Cilacap,26-09-2025,JAWA TENGAH,Wilayah II,Elvin Subekti,,-7.69515,109.32542
SPPG Karanganyar Gondangrejo Jatikuwung,"Jl. Azzaria Raya, Gondangrejo, Jatikuwung, Kec. Gondangrejo, Kabupaten Karanganyar, Jawa Tengah ",26-09-2025,JAWA TENGAH,Wilayah II,Arifin Ali Wibisono,,-7.46603,110.80649
SPPG Brebes Bantarkawung Terlaya,"Terlaya Rt 010 Rw 002, Terlaya, Kec. Bantarkawung, Kab. Brebes, Jawa Tengah",26-09-2025,JAWA TENGAH,Wilayah II,Bagas Nur Faizi,,-7.21795,108.92377
SPPG Kota Pekalongan Pekalongan Selatan Banyurip,"Banyurip Ageng, Kec. Pekalongan Selatan, Kota Pekalongan, Jawa Tengah",26-09-2025,JAWA TENGAH,Wilayah II,Aditya Arya Perdana,,-6.90343,109.65643
SPPG Demak Mranggen Bandungrejo,"Jl. Raya Bandungrejo NO.40, Bandungrejo, Kec. Mranggen, Kab. Demak, Jawa Tengah",26-09-2025,JAWA TENGAH,Wilayah II,Muhammad Huda Alfiyan,,-7.0222,110.50463
SPPG Cilacap Gandrungmangu Gandrungmangu,"Jl. Nadahyang Rt 05 Rw 03  Dusun Gandrungmangu Desa Gandrungmangu, Kecamatan Gandrungmangu, Kabupaten Cilacap, Jawa Tengah",26-09-2025,JAWA TENGAH,Wilayah II,Faiz Tamimi,,-7.52383,108.85868
SPPG Kudus Kota Kudus Singocandi 2,"Jl. Lambao Rt 05 Rw 04 Singocandi Kudus, Singocandi, Kec. Kota Kudus, Kab. Kudus, Jawa Tengah",26-09-2025,JAWA TENGAH,Wilayah II,Muhammad Fahrul Rizal,,-6.78408,110.84051
SPPG Purbalingga Purbalingga Kandanggampang,"Gang Padi, Kandanggampang, Kec. Purbalingga, Kabupaten Purbalingga, Jawa Tengah",26-09-2025,JAWA TENGAH,Wilayah II,Alif Debby Hendrawan,,-7.3926,109.35416
SPPG Kendal Boja Meteseh,"Jl. Rowosari, Simbang, Bebengan, Kec. Boja, Kabupaten Kendal, Jawa Tengah ",26-09-2025,JAWA TENGAH,Wilayah II,Siraj Lintang Wicaksono,,-6.93394,110.06484
SPPG Temanggung Pringsurat Soropadan,"Dusun Batikan, Rt 01 / Rw 04, Kelurahan Soropadan, Kecamatan Pringsurat, Kabupaten Temanggung, Jawa Tengah",26-09-2025,JAWA TENGAH,Wilayah II,Muhammad Anwar Ridho,,-7.37501,110.26662
SPPG Kebumen Pejagoan Kedawung 3,"Jl. Raya Sokka Gombong Rt.004 Rw.03 Kedawung Lor Kebumen, Kedawung, Pejagoan, Kab. Kebumen, Jawa Tengah",26-09-2025,JAWA TENGAH,Wilayah II,Raden Muhammad Raditya Tyas Utama,,-7.67666,109.64777
SPPG Kota Semarang Genuk Bangetayu Wetan,"Jl. Wolter Monginsidi No. 1, Bangetayu Wetan, Genuk, Kota Semarang, Jawa Tengah",26-09-2025,JAWA TENGAH,Wilayah II,Hadad Huseinal Faza,,-6.95186,110.48075
SPPG Banyumas Ajibarang Lesmana,"Desa Lesmana RT 001 RW 006, Kecamatan Ajibarang, Kabupaten Banyumas, Jawa Tengah",26-09-2025,JAWA TENGAH,Wilayah II,Nera Milennia,,-7.39849,109.10776
SPPG Banyumas Patikraja Kedungwringin,"Jl. Putaran 2. Rt 01 Rw 01. Desa Kedungwringin. Kecamatan Patikraja Kabupaten Banyumas, Jawa Tengah",26-09-2025,JAWA TENGAH,Wilayah II,Muhammad Nurman Bahtiar,,-7.44574,109.21605
SPPG Jepara Kedung Jondang,"JONDANG, RT 02 RW 03  KEC. KEDUNG, KAB. JEPARA, JAWA TENGAH, 59463",26-09-2025,JAWA TENGAH,Wilayah II,Wildan Sandya Khoiruddin,,-6.67004,110.66898
SPPG Banyumas Ajibarang Pancurendang,"Rt 005, Rw 004, Pancurendang, Ajibarang, Kab. Banyumas, Jawa Tengah",27-08-2025,JAWA TENGAH,Wilayah II,Abbi Tidar Ramadhan,,-7.40829,109.09102
SPPG Banjarnegara Rakit Adipasir,"Adipasir 07/02 Adipasir, Rakit, Banjarnegara, Jawa Tengah, Adipasir, Rakit, Kab. Banjarnegara, Jawa Tengah",27-08-2025,JAWA TENGAH,Wilayah II,Iqfan Nur Afif,,-7.39519,109.57538
SPPG Banyumas Purwokerto Timur Kranji 2,"Jl.Kalibener Desa Kranji Rt 07 Rw 02, Kranji, Purwokerto Timur, Kab. Banyumas, Jawa Tengah",27-08-2025,JAWA TENGAH,Wilayah II,Muhamad Akhsin Adilah,,-7.42941,109.23787
SPPG Sragen Sumberlawang Jati 2,"Jalan Raya Sumberlawang, Jati, Gabugan, Kebayanan I, Jati, Kecamatan Sumberlawang, Kabupaten Sragen, Jawa Tengah, Jati, Sumberlawang, Kabupaten Sragen, Jawa Tengah",27-08-2025,JAWA TENGAH,Wilayah II,Agung Wahyudi,,-7.34481,110.86963
SPPG Kota Semarang Mijen Ngadirgo,"Jl. Sentyaki, Rt.2/Rw.5, Ngadirgo, Mijen, Kota Semarang, Jawa Tengah",27-08-2025,JAWA TENGAH,Wilayah II,Nur Wakhid Fauzan,,-6.97052,110.40293
SPPG Tegal Adiwerna Lumingser,"Jl. Lengkong Adiwerna No.8, Lumingser, Kec. Adiwerna, Kabupaten Tegal, Jawa Tengah 52194",27-08-2025,JAWA TENGAH,Wilayah II,Muhammad Irza Ardhian Haq,,-6.93122,109.13558
SPPG Grobogan Purwodadi Putat,"Jl. A. Yani No. 350, Dusun Nglejok, Desa Putat, Kecamatan Purwodadi, Kabupaten Grobogan, Provinsi Jawa Tengah",27-08-2025,JAWA TENGAH,Wilayah II,Siti Khoiriyah,,-7.07004,110.87975
SPPG Pekalongan Kajen Kalijoyo,"Jl. Raya Bajumaro Kalijoyo , Kalijoyo, Kajen, Kab. Pekalongan, Jawa Tengah",27-08-2025,JAWA TENGAH,Wilayah II,Iqbal Luqni Maulana,,-7.00904,109.57663
SPPG Banyumas Kedungbanteng Kebocoran,"Jl. Gilijati RT 008/RW 002, Desa Kebocoran, Kecamatan Kedungbanteng, Kabupaten Banyumas, Provinsi Jawa Tengah",27-08-2025,JAWA TENGAH,Wilayah II,Angger Wahyu Ramadhani S.T.,,-7.39095,109.20514
SPPG Sragen Kalijambe Sambirembe,"Jl Saren-Trobayan Km 1 , Dk Sambirembe Rt 06, Sambirembe, Kec. Kalijambe, Kab. Sragen, Jawa Tengah",27-08-2025,JAWA TENGAH,Wilayah II,Wisnu Aji,,-7.43161,110.80074
SPPG Pekalongan Kedungwuni Kwayangan,"Jl. Kuri`An, Kejemen, Kwayangan, Kec. Kedungwuni, Kabupaten Pekalongan, Jawa Tengah ",27-08-2025,JAWA TENGAH,Wilayah II,Muh Riqza Hadiyatullah,,-6.97639,109.65826
SPPG Pati Kayen Kayen 2,"Dusun Karanggempol, Rt.05 Rw. 8, Kayen, Kec. Kayen, Kabupaten Pati, Provinsi Jawa Tengah",27-08-2025,JAWA TENGAH,Wilayah II,M Mustofa Afif,,-7.5512,110.2492
SPPG Pekalongan Buaran Coprayan 2,"Coprayan Rt 07 Rw 03 Kec. Buaran Kab. Pekalongan, Jawa Tengah",27-08-2025,JAWA TENGAH,Wilayah II,Muhammad Abdul Aziz As Su`ud,,-6.93623,109.65334
SPPG Kebumen Kebumen Wonosari,"Jalan Kutoarjo Km 4,5 Desa Wonosari RT 01 RW 02, Kecamatan Kebumen, Kabupaten Kebumen, Jawa Tengah",27-08-2025,JAWA TENGAH,Wilayah II,Mokhamad Nur Fauzan,,-7.68699,109.67424
SPPG Sukoharjo Polokarto Wonorejo,"Dukuh Jengglong Rt 3 Rw 5, Ds. Jatisobo, Kec. Polokarto, Kab. Sukoharjo, Jawa Tengah",27-08-2025,JAWA TENGAH,Wilayah II,Hari Sukmono,,-7.6244,110.8939
SPPG Sukoharjo Tawangsari Kateguhan,"Jl. Raya Dalangan, Karangasem, Kateguhan, Kec. Tawangsari, Kab. Sukoharjo, Jawa Tengah",27-08-2025,JAWA TENGAH,Wilayah II,Ardi Santoso Wakhid Ilmu R,,-7.71943,110.81629
SPPG Sragen Sumberlawang Mojopuro,"Jalan Solo-Purwodadi, Kebayanan II, Mojopuro, kecamatan Sumberlawang, Kabupaten Sragen, Jawa Tengah",27-08-2025,JAWA TENGAH,Wilayah II,Al Munghirah Ibnu Abdillah,,-7.32865,110.86229
SPPG Kebumen Kebumen Karangsari,"Dukuh Ampel Rt 04 Rw 04, Karangsari, Kebumen, Kab. Kebumen, Jawa Tengah",27-08-2025,JAWA TENGAH,Wilayah II,Reza Al Makki,,-7.65066,109.66656
SPPG Banjarnegara Punggelan Petuguran,"Dusun Petuguran RT 001/RW 002, Desa Petuguran, Kecamatan Punggelan, Kabupaten Banjarnegara, Provinsi Jawa Tengah",27-08-2025,JAWA TENGAH,Wilayah II,Muhammad Husain,,-7.32398,109.61831
SPPG Banyumas Wangon Klapagading Kulon 2,"Jalan Veteran Sunarto, Klapagading Kulon, Wangon, Kab. Banyumas, Jawa Tengah",27-08-2025,JAWA TENGAH,Wilayah II,Adi Prabowo Lintang Pramudya,,-7.51271,109.06379
SPPG Grobogan Grobogan Getasrejo,"Jalan Lingkar Utara Purwodadi - Semarang, Kelurahan Getasrejo, Kecamatan Grobogan, Kabupaten Grobogan, Jawa Tengah",27-08-2025,JAWA TENGAH,Wilayah II,Ayu Ariani Fina Angelia,,-7.06719,110.91779
SPPG Grobogan Gubug Gubug 2,"Dukoh, Gubug, Kecamatan Gubug, Kabupaten Grobogan, Jawa Tengah ",27-09-2025,JAWA TENGAH,Wilayah II,Muhammad Widi Arjuna Wahyu Awali,,-7.50554,110.21662
SPPG Brebes Tonjong Tonjong,"Jl. Raya Tonjong Desa Tonjong, Kecamatan Tonjong, Kabupaten Brebes, Provinsi Jawa Tengah",27-09-2025,JAWA TENGAH,Wilayah II,Mukhammad Maulana Ardan,,-7.18455,109.0128
SPPG Kebumen Kebumen Sumberadi,"Desa Sumberadi, Kec. Kebumen, Kab. Kebumen, Jawa Tengah",27-09-2025,JAWA TENGAH,Wilayah II,Muhammad Harun Najib,,-7.67528,109.68135
SPPG Grobogan Ngaringan Ngaringan,"Pangkalan, Ngaringan, Kec. Ngaringan, Kabupaten Grobogan, Jawa Tengah",27-09-2025,JAWA TENGAH,Wilayah II,Dika Asy`Ari,,-7.05626,111.17868
SPPG Grobogan Gubug Jeketro,"Jeketro, Kecamatan Gubug Kabupaten Grobogan, Jawa Tengah",27-09-2025,JAWA TENGAH,Wilayah II,Lia Maulidia,,-7.05424,110.66541
SPPG Magelang Pakis Ketundan,"Bowongan, Pakis, Area Kebun/Hutan, Ketundan, Kec. Pakis, Kabupaten Magelang, Jawa Tengah 56193, Pakis, Pakis, Kab. Magelang, Jawa Tengah",27-09-2025,JAWA TENGAH,Wilayah II,Haris Faisal Ahmad,,-7.45352,110.33074
SPPG Cilacap Maos Karangkemiri,"Jl. Raya Maos Desa Karangkemiri Kecamatan Maos Kabupaten Cilacap, Jawa Tengah",27-09-2025,JAWA TENGAH,Wilayah II,Trio Soleh Pambudi,,-7.61918,109.13369
SPPG Kota Semarang Gunungpati Mangunsari,"JL. JAMBU SARI RT 08 RW 04, KELURAHAN MANGUNSARI, KECAMATAN GUNUNGPATI, KOTA SEMARANG, JAWA TENGAH",27-09-2025,JAWA TENGAH,Wilayah II,Galih Loka Bimantoro,,-6.98336,110.46447
SPPG Kota Semarang Gajahmungkur Gajahmungkur,"Komplek, Jl. Sultan Agung Jl. Akademi Kepolisian No.131, Candi Baru, Gajahmungkur, Kec. Gajahmungkur, Kota Semarang, Jawa Tengah 50232",27-09-2025,JAWA TENGAH,Wilayah II,Galang Bryllyan Wicaksono,,-7.01896,110.41709
SPPG Magelang Secang Payaman,"Malangan 1 Rt 29 Rw 13, Payaman, Secang, Kab. Magelang, Jawa Tengah",27-09-2025,JAWA TENGAH,Wilayah II,Zanuar Ahmad Hasani,,-7.62823,110.20841
SPPG Tegal Balapulang Banjaranyar,"Jl. Raya Kaliwungu, Banjar Anyar, Rt 03 / Rw 02, Kecamatan Balapulang, Kabupaten Tegal, Jawa Tengah",27-09-2025,JAWA TENGAH,Wilayah II,M. Romy Zulmunir,,-6.99389,109.16521
SPPG Grobogan Geyer Ledokdawan 2,"Ledokdawan, Kecamatan Geyer, Kabupaten Grobogan, Jawa Tengah",27-09-2025,JAWA TENGAH,Wilayah II,Satria Putro Kuncoro,,-7.20243,110.89498
SPPG Tegal Margasari Prupuk Selatan,"Desa Kesambi, Prupuk Sel., Kec. Margasari, Kabupaten Tegal, Jawa Tengah 52463, Prupuk Selatan, Margasari, Kab. Tegal, Jawa Tengah",27-09-2025,JAWA TENGAH,Wilayah II,Amien Pandu Suryanegara,,-7.14496,108.96965
SPPG Kota Magelang Magelang Selatan Tidar Selatan,"Jl. Soekarno Hatta No.18, Tidar Selatan, Kecamatan Magelang Selatan Kota Magelang, Jawa Tengah ",27-09-2025,JAWA TENGAH,Wilayah II,Ema Shintya Fatimah,,-7.49505,110.23162
SPPG Semarang Pabelan Pabelan,"Jl. Takan Kidul, Pabelan, Kec. Pabelan, Kabupaten Semarang, Jawa Tengah",27-09-2025,JAWA TENGAH,Wilayah II,Nizar Restu Aji,,-7.31806,110.5412
SPPG Kebumen Adimulyo Candiwulan,"Jl. Raya Mangunharjo, Area Sawah, Candi Wulan, Kec. Adimulyo, Kabupaten Kebumen, Jawa Tengah 54363",27-09-2025,JAWA TENGAH,Wilayah II,Brayen Nur Rahman,,-7.64396,109.61254
SPPG Banyumas Karanglewas Pasir Wetan,"Jl. Kyai Nur Chakim Dusun I Rt 01 Rw 03, Pasir Wetan, Karanglewas, Kab. Banyumas, Jawa Tengah",27-09-2025,JAWA TENGAH,Wilayah II,Nafi`udin Faiz Ashari,,-7.40966,109.20544
SPPG Cilacap Kedungreja Ciklapa,"Dusun Purwosari, Desa Ciklapa, RT 002 RW 008, Kecamatan Kedungreja, Kabupaten Cilacap, Provinsi Jawa Tengah",28-04-2025,JAWA TENGAH,Wilayah II,Rasyid Dwi Nugroho,Yayasan Amanah Puri Annisa,-7.49395,108.79649
SPPG Jepara Kalinyamatan Banyuputih,"Dusun II, Banyuputih, Kec. Kalinyamatan, Kabupaten Jepara, Jawa Tengah 59462.",28-07-2025,JAWA TENGAH,Wilayah II,Muhammad Burhanudin Alawy,Yayasan Denbaguse Muria Raya,-6.7146,110.72757
SPPG Sukoharjo Grogol Gedangan,"Jl.Dondong No.36 Dusun 2 ,Kel.Gedangan,Kec.Grogol,Kab.Sukoharjo",28-07-2025,JAWA TENGAH,Wilayah II,Dewi Nugraheni,Yayasan Pundi Amal Al Amin,-7.6066,110.80293
SPPG Grobogan Grobogan Grobogan 2,"Jl. Slamet riyadi No. 70B, Kelurahan Grobogan, Kecamatan Grobogan, Kabupaten Grobogan, Provinsi Jawa Tengah",28-07-2025,JAWA TENGAH,Wilayah II,Muhammad Norhuda,,-7.02681,110.92181
SPPG Klaten Karanganom Karanganom,"Jl. Raya Karanganom-Penggung, Karanganom, Rt. 001/ Re. 003 ,Ds.Karanganom, Kec. Karanganom, Kab. Klaten, Jawa Tengah",28-07-2025,JAWA TENGAH,Wilayah II,Kharisma Abdi Wicaksono,Yayasan Darmawangsa Panca Sahaya,-7.64806,110.63228
SPPG Tegal Bumijawa Dukuhbenda,"Jalan Telkom, Desa Gunung Benda, Kecamatan Bumijawa, Kabupaten Tegal, Provinsi Jawa Tengah 52466",28-07-2025,JAWA TENGAH,Wilayah II,Wahyu Ika Oktavian,,-7.17735,109.10736
SPPG Grobogan Tegowanu Mangunsari,"Jalan Raya Purwodadi-Semarang KM.17, Dusun Daplang, Desa. Mangunsari, Kec. Tegowanu, Kab. Grobogan, Jawa Tengah",28-07-2025,JAWA TENGAH,Wilayah II,Mohammad Zaenudin,Yayasan Nakama Sejahtera Indonesia,-7.05077,110.6359
SPPG Banyumas Cilongok Panembangan,"JL. Raya Panembangan - Pernasidi RT 003 RW 003 Desa Panembangan, Kec. Cilongok, Kab. Banyumas",28-07-2025,JAWA TENGAH,Wilayah II,Damas Fatchur Rahman,Yayasan Berlian Nusantara Abadi,-7.38156,109.12043
SPPG Purworejo Kemiri Kemirilor,"Dusun II RT 01 RW 02, Desa Kemirilor, Kec. Kemiri, Kab. Purworejo provinsi jawa tengah",28-07-2025,JAWA TENGAH,Wilayah II,Siti Khasanah,Yayasan Berkah Tani Jaya,-7.68148,109.89359
SPPG Kudus Dawe Margorejo,"Desa Margorejo RT 05/RW 05, Kec. Dawe, Kab. Kudus, Jawa Tengah",28-07-2025,JAWA TENGAH,Wilayah II,Nur Haliza Ayu Anwari Sholikhah,Yayasan Perjuangan Untuk Kesejahteraan Rakyat,-6.75473,110.88051
SPPG Cilacap Nusawungu Banjareja,"Desa Banjareja RT 001 RW 004, Kec. Nusawungu, Kab. Cilacap, Jawa Tengah",28-07-2025,JAWA TENGAH,Wilayah II,Lionata Agem Persada,Yayasan Riyadhul Auliad,-7.70589,109.37239
SPPG Blora Ngawen Ngawen 2,"Dukuh Sukolilo, Kelurahan Ngawen, Kecamatan Ngawen, Kabupaten Blora,  Jawa Tengah",28-07-2025,JAWA TENGAH,Wilayah II,Moh Reza Anhar,Yayasan Anak Sritu Alfarizki,-7.60362,110.26987
SPPG Kebumen Petanahan Karanggadung,"Jalan Lingkar Selatan RT 001 / RW 002, Desa Karanggadung, Kecamatan Petanahan, Kabupaten Kebumen, Jawa Tengah",28-07-2025,JAWA TENGAH,Wilayah II,HAZIMAH SABARUDIN,Yayasan Saka Tunggal Bersinar,-7.69527,109.68494
SPPG Wonogiri Wonogiri Wonoboyo,"Jalan Melati I No.6, Kelurahan Jatirejo, Kecamatan Wonoboyo, Kabupaten Wonogiri, Jawa Tengah",28-07-2025,JAWA TENGAH,Wilayah II,Pandu Dwi Handika ,Yayasan Paku Bumi Restu Semesta,-7.80974,110.93131
SPPG Banyumas Kemranjen Alasmalang,JL. Raya Tipar RT.03 RW.04 Ds. Alasmalang Kec. Kemranjen Kab. Banyumas Prov. Jawa Tengah,28-07-2025,JAWA TENGAH,Wilayah II,Siti Ati Zulfani,Yayasan Setia Tri Matra Jaya,-7.58212,109.31482
SPPG Blora Jati Doplang,Dukuh Dukuhan RT 028 RW 004 Ds. Doplang Kecamatan Jati Kab. Blora Jawa Tengah,28-07-2025,JAWA TENGAH,Wilayah II,Andi Setio Budi,Yayasan Kasih Putra Ibad,-7.17977,111.28924
SPPG Kendal Patebon Purwosari 2,Jl Raden Patah Rt 008 Rw 002 Desa Purwosari Kec Patebon,28-07-2025,JAWA TENGAH,Wilayah II,AHMAD FAHRIS SAEFUDDIN,Yayasan saiyeg saeko proyo,-6.9184,110.16602
SPPG Cilacap Cilacap Utara Mertasinga,"Jl. Rawa Bendungan, Desa Mertasinga, Kecamatan Cilacap Utara, Kabupaten Cilacap",28-07-2025,JAWA TENGAH,Wilayah II,Irfan Anjas Purwo,Yayasan Tunas Harapan Santosa,-7.6728,109.05179
SPPG Kebumen Sempor Selokerto,"Jl.Yos Sudarso RT 005/ RW 002, Kel Selokerto, Kec Sempor, Kab Kebumen, Jawa Tengah",28-07-2025,JAWA TENGAH,Wilayah II,MUHAMMAD CHOIRUDIN,Yayasan Tradha An Nuur Sejahtera,-7.60831,109.50218
SPPG Jepara Nalumsari Karangnongko,Jl.Raya Daren Nalumsari Desa Karangnongko RT 01/01 Kecamatan Nalumsari Kabupaten Jepara,28-07-2025,JAWA TENGAH,Wilayah II,Anang Abdillah ,Yayasan At-Taqwa Daren,-6.74366,110.79043
SPPG Temanggung Candiroto Bantir,"Dusun Secakran Rt 004 Rw 001, Desa Bantir, Kec. Candiroto, Kab. Temanggung, Jawa Tengah",28-07-2025,JAWA TENGAH,Wilayah II,Akhmad Fawaid,Yayasan Mitra Wahid Temanggung,-7.22494,110.03962
SPPG Kota Salatiga Argomulyo Tegalrejo,"Dusun Delik, Desa Tegalrejo,Kec Argomulyo Kota Salatiga",28-07-2025,JAWA TENGAH,Wilayah II,Bagas Fatkhurrohman,Yayasan Empat Tunas Suprapti,-7.34029,110.50275
SPPG Temanggung Kranggan Bengkal,"Jalan Secang-Temanggung KM 09, Bengkal, Kecamatan Kranggan, Kabupaten Temanggung, Jawa Tengah",28-07-2025,JAWA TENGAH,Wilayah II,Ulfa Rizki Asmarani,Yayasan Mitra Wahid,-7.32344,110.17459
SPPG Purbalingga Mrebet Kradenan,"Dusun 3, Tangkisan, Kec. Mrebet Kab. PurbalinggaKradenan, Kec. Mrebet Kab. Purbalingga",28-07-2025,JAWA TENGAH,Wilayah II,Zaenal Muhsin,Yayasan Segara Anakan Nusantara,-7.31471,109.34264
SPPG Pati Pucakwangi Tanjungsekar,Desa Tanjungsekar Kecamatan. Pucakwangi Kabupaten. Pati Jawa Tengah,28-07-2025,JAWA TENGAH,Wilayah II,Sudi Rahayu,Yayasan al huda arbiyassin rusdi,-6.8183,111.1556
SPPG Blora Bogorejo Sendangrejo,"JL JEPON - JATIROGO, DESA SENDANGREJO RT 007 RW 001, KECAMATAN BOGOREJO, KABUPATEN BLORA, PROVINSI JAWA TENGAH",28-07-2025,JAWA TENGAH,Wilayah II,ISRA MIRAJA,Yayasan Blora Mustika Sejahtera,-6.9449,111.51322
SPPG Kota Surakarta Serengan Danukusuman,Jl. Kapten Pattimura No.25 RT 003 RW 014 Kelurahan Danukusuman Kecamatan Serengan Surakarta Jawa Tengah 57156,28-07-2025,JAWA TENGAH,Wilayah II,GUNAWAN DWIKI DEWANTO,Yayasan Panti Asuhan Siti Walidah,-7.58912,110.82137
SPPG Sukoharjo Polokarto Polokarto,"JLN. SUGIHAN-KARANGANYAR, WONOSARI RT.003/RW.013, DESA POLOKARTO, KECAMATAN POLOKARTO, KABUPATEN SUKOHARJO",28-07-2025,JAWA TENGAH,Wilayah II,SURYANTORO,Yayasan Sanggar Pawon Nusantara,-7.6279,110.8532
SPPG Purbalingga Kaligondang Kalikajar,Jl. Raya Trenggiling Kalikajar Kaligondang Purbalingga,28-07-2025,JAWA TENGAH,Wilayah II,Raka Tegas Lingga Adi Putra,Yayasan Amrah RSU Wiradadi Husada,-7.38074,109.3851
SPPG Blora Bogorejo Jeruk,Desa jeruk Rt 02 Rw 01 Kec. Bogorejo Kab. Blora Jawa Tengah,28-07-2025,JAWA TENGAH,Wilayah II,Abdul wakhid Nur Aslam,Yayasan Kasih Putra Ibad,-6.94416,111.508
SPPG Kebumen Kebumen Bumirejo 1,"Jl. MH Sarbini RT 1 RW 4, Bumirejo, Kebumen, Kab. Kebumen",28-07-2025,JAWA TENGAH,Wilayah II,"FATHUR KHOIRURROFIK, S.M",Yayasan Tradha An Nuur Sejahtera,-7.66457,109.65242
SPPG Klaten Klaten Utara Jonggrangan,Jl. Sersan Sadikin Dk. Jonggrangan Baru RT 03 RW 02 Ds. Jonggrangan Kec. Klaten Utara Kab. Klaten Jawa Tengah,28-07-2025,JAWA TENGAH,Wilayah II,Reza Octavia,Yayasan Mustika Harapan Nusantara,-7.68709,110.61463
SPPG Cilacap Kesugihan Kalisabuk 1,"Jalan Raya Kalisabuk Desa Kalisabuk, Kecamatan Kesugihan, Kabupaten Cilacap",28-07-2025,JAWA TENGAH,Wilayah II,Ulil Azmi,Yayasan Tunas Harapan Santosa,-7.66104,109.09674
SPPG Kendal Boja Boja,"Jalan Pahlawan No.167, Gentan Lor, Kecamatan Boja, Kabupaten Kendal, Jawa tengah",28-07-2025,JAWA TENGAH,Wilayah II,Ahmad Muhajirin,,-7.10167,110.26769
SPPG Banyumas Purwokerto Barat Kober,Jl Kober gg Riswan No 5 01/05 Kel. Kober Kec. Purwokerto Barat Kab. Banyumas ,28-07-2025,JAWA TENGAH,Wilayah II,CAKRA KUSUMA YUDA ,Yayasan Cerita Langit Inspirasi,-7.41264,109.21821
SPPG Kota Semarang Genuk Gebangsari,"Jl. Padi Raya, Perumahan Genuk Indah No.231 Kelurahan Gebangsari, Kecamatan Genuk, Kota Semarang, Jawa Tengah",28-07-2025,JAWA TENGAH,Wilayah II,R Aman Santoso Wahyu Wijayanto,Yayasan Suka Anak Bangsa,-6.96798,110.46539
SPPG Temanggung Ngadirejo Ngadirejo 1,"Dusun Demangan RT 01 RW 05, Desa Ngadirejo, Kecamatan Ngadirejo, Kabupaten Temanggung, Jawa Tengah",28-07-2025,JAWA TENGAH,Wilayah II,Fani Andrean Firmansyah,,-7.25039,110.05611
SPPG Brebes Tanjung Sengon,"Jl. Cemara gang delima no. 7 RT. 06 RW. 02, Desa Sengon Wetan, Kecamatan Tanjung, Kabupaten Brebes, Kabupaten Brebes",28-07-2025,JAWA TENGAH,Wilayah II,Desi Nur Riskiyani,Yayasan Muhdir,-6.8836,108.86612
SPPG Banyumas Wangon Banteran,"Desa Banteran RT 03 RW 01, Kec, Wangon, Kab. Banyumas",28-07-2025,JAWA TENGAH,Wilayah II,Farhan Assidiqi,Yayasan Alrahma Bhakti Jatisaba,-7.50793,109.05966
